id	slug	name	category	tagline	tags	logo_url	logo_path	neighborhood	address	city	country	lat	lng	hours_raw	url
al-bustan-palace	al-bustan-palace	Al Bustan Palace	Hotels	Luxury beachfront resort with palace-like grandeur.	â­ï¸5;Luxury;Beachfront			Qasr Al Alam	Al Bustan St	Muscat	Oman	23.586	58.64		https://www.ritzcarlton.com/en/hotels/mctaq-al-bustan-palace
the-chedi-muscat	the-chedi-muscat	The Chedi Muscat	Hotels	Minimalist luxury on a private beachfront.	â­ï¸5;Luxury;Spa			North Ghubrah	18th November St	Muscat	Oman	23.6	58.409		https://www.ghmhotels.com/en/muscat/
kargeen-cafe	kargeen-cafe	Kargeen Cafe	Restaurants	Garden-style Omani & Arabic cuisine.	Family Friendly;Outdoor Seating;Traditional			Madinat Al Sultan Qaboos	18th November St, Way 3935	Muscat	Oman	23.595	58.429	Sat-Thu 12:00-01:00; Fri 13:00-01:00	https://kargeencaffe.com/
oman-avenues-mall	oman-avenues-mall	Oman Avenues Mall	Malls	Large shopping mall with international brands & dining.	Parking;Family Friendly;Cinema			Bausher	Sultan Qaboos St	Muscat	Oman	23.577	58.42	Daily 10:00-22:00	https://www.omanavenuesmall.com/
royal-opera-house-muscat	royal-opera-house-muscat	Royal Opera House Muscat	Attractions	World-class opera house & cultural venue.	Performing Arts;Tours;Landmark			Shatti Al Qurum	Al Kharjiyah St	Muscat	Oman	23.613	58.449	Box Office: Sun-Thu 10:00-19:00	https://rohmuscat.org.om/
sultan-qaboos-grand-mosque	sultan-qaboos-grand-mosque	Sultan Qaboos Grand Mosque	Attractions	Iconic mosque with stunning architecture and gardens.	Landmark;Tours			Bausher	Sultan Qaboos St	Muscat	Oman	23.585	58.389	Visitor Hours: Sat-Thu 08:00-11:00	https://www.sultanqaboosgrandmosque.com/
bait-al-zubair-museum	bait-al-zubair-museum	Bait Al Zubair Museum	Museums	Private museum showcasing Omani heritage.	Heritage;Gallery;Family Friendly			Old Muscat	Al Saidiya St	Muscat	Oman	23.616	58.594	Sat-Thu 09:30-18:00	https://www.baitalzubair.com/
qurum-natural-park	qurum-natural-park	Qurum Natural Park	Parks	Lakes, gardens, and walking paths in the heart of Qurum.	Family Friendly;Playground;Picnic			Qurum	Qurum Park	Muscat	Oman	23.609	58.466	Daily 08:00-23:00	
al-mouj-marina	al-mouj-marina	Al Mouj Marina	Attractions	Marina promenade with dining, sailing, and leisure.	Waterfront;Family Friendly;Dining			Al Mouj	Street 1, Al Mouj	Muscat	Oman	23.613	58.284		https://www.almouj.com/en/marina
shangri-la-barr-al-jissah	shangri-la-barr-al-jissah	Shangri-La Barr Al Jissah	Hotels	Clifftop resort with private beaches and family facilities.	â­ï¸5;Resort;Beachfront;Family Friendly			Barr Al Jissah	PO Box 644, Muscat 100	Muscat	Oman	23.557	58.642		https://www.shangri-la.com/muscat/barraljissahresort/
